epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.829,1.29864,1.71194,1.19565,0.78023,0.67198,0.73831,0.4572,1.32643,3.80317,1.27865,0.00066365,0.00066365,0.00066365
2,948.789,1.29137,0.82183,1.17334,0.85607,0.76401,0.82084,0.53066,1.29228,1.23501,1.21889,0.00127764,0.00127764,0.00127764
3,1351.59,1.27272,0.76487,1.16932,0.92214,0.83094,0.88259,0.57055,1.26707,0.94263,1.18438,0.00183882,0.00183882,0.00183882
4,1742.5,1.249,0.74293,1.15493,0.93007,0.75672,0.8458,0.54379,1.31594,0.95309,1.23236,0.0017624,0.0017624,0.0017624
5,2016.58,1.21997,0.70184,1.14133,0.92046,0.88573,0.92627,0.59895,1.2256,0.68834,1.16441,0.0016832,0.0016832,0.0016832
6,2469.15,1.20545,0.66548,1.12938,0.93994,0.87699,0.93526,0.62173,1.19213,0.63855,1.1401,0.001604,0.001604,0.001604
7,2872.22,1.18106,0.63223,1.11554,0.97071,0.89886,0.94398,0.62695,1.23617,0.5905,1.13824,0.0015248,0.0015248,0.0015248
8,3226.09,1.16905,0.6163,1.11096,0.96026,0.91435,0.94672,0.63884,1.16292,0.57681,1.10563,0.0014456,0.0014456,0.0014456
9,3519.7,1.15606,0.60494,1.10051,0.97426,0.91378,0.95635,0.64787,1.16932,0.54142,1.11235,0.0013664,0.0013664,0.0013664
10,4062.05,1.14905,0.58214,1.09396,0.95333,0.9121,0.94167,0.63325,1.17444,0.56884,1.10562,0.0012872,0.0012872,0.0012872
11,4419.2,1.12702,0.56566,1.08574,0.96939,0.9235,0.95681,0.6508,1.15777,0.52915,1.10584,0.001208,0.001208,0.001208
12,4838.11,1.11751,0.55626,1.08304,0.98147,0.91891,0.95857,0.66706,1.12443,0.50163,1.08946,0.0011288,0.0011288,0.0011288
13,5288.09,1.11922,0.54527,1.07587,0.98779,0.92109,0.96144,0.66971,1.12738,0.492,1.08357,0.0010496,0.0010496,0.0010496
14,5657.33,1.09658,0.52363,1.06646,0.98547,0.92756,0.96443,0.68561,1.1081,0.47261,1.06752,0.0009704,0.0009704,0.0009704
15,5880.59,1.08971,0.5216,1.06273,0.98124,0.9221,0.95685,0.66749,1.10946,0.48357,1.07548,0.0008912,0.0008912,0.0008912
16,6188.64,1.09287,0.49143,1.08768,0.97832,0.93394,0.96375,0.67455,1.11197,0.48649,1.0828,0.000812,0.000812,0.000812
17,6371.84,1.07732,0.47592,1.07536,0.97529,0.93494,0.96479,0.67669,1.10357,0.4737,1.07432,0.0007328,0.0007328,0.0007328
